state,region
AK,Far West
AL,Southeast
AR,Southeast
AZ,Southwest 
CA,Far West
CO,Rocky Mountain
CT,New England
DC,Mideast
DE,Mideast
FL,Southeast
GA,Southeast
HI,Far West
IA,Plains
ID,Rocky Mountain
IL,Great Lakes
IN,Great Lakes
KS,Plains
KY,Southeast
LA,Southeast
MA,New England
MD,Mideast
ME,New England
MI,Great Lakes
MN,Plains
MO,Plains
MS,Southeast
MT,Rocky Mountain
NC,Southeast
ND,Plains
NE,Plains
NH,New England
NJ,Mideast
NM,Southwest 
NV,Far West
NY,Mideast
OH,Great Lakes
OK,Southwest 
OR,Far West
PA,Mideast
RI,New England
SC,Southeast
SD,Plains
TN,Southeast
TX,Southwest 
UT,Rocky Mountain
VA,Southeast
VT,New England
WA,Far West
WI,Great Lakes
WV,Southeast
WY,Rocky Mountain
